snapshot_date;type;brand;model;version_raw;manufacture_year;model_year;price;version
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;suv;jeep;renegade;renegade longitude 1.3;2023;2024;112990;renegade longitude 1.3 gasolina/etanol automático
2025-08-24;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;argo drive 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;argo drive 1.0 gasolina/etanol manual
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;nivus;nivus highline 1.0;2023;2024;116990;nivus highline 1.0 gasolina/etanol automático
2025-08-24;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;argo drive 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;mobi;mobi like 1.0;2023;2024;56990;mobi like 1.0 gasolina/etanol manual
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;pick-up;fiat;strada;strada endurance cp flex 1.3;2023;2024;80990;strada endurance cp flex 1.3 gasolina/etanol manual
2025-08-24;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;argo drive 1.0 gasolina/etanol manual
2025-08-24;suv;chevrolet;tracker;tracker lt 1.0;2023;2024;104990;tracker lt 1.0 gasolina/etanol automático
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;hatch;volkswagen;polo;polo 1.0;2023;2024;72990;polo 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;argo drive 1.0 gasolina/etanol manual
2025-08-24;furgao;fiat;fiorino;fiorino endurance 1.4;2023;2024;91490;fiorino endurance 1.4 gasolina/etanol manual
2025-08-24;suv;volkswagen;nivus;nivus highline 1.0;2023;2024;116990;nivus highline 1.0 gasolina/etanol automático
2025-08-24;suv;jeep;renegade;renegade longitude 1.3;2023;2024;112990;renegade longitude 1.3 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;hatch;fiat;mobi;mobi like 1.0;2023;2024;56990;mobi like 1.0 gasolina/etanol manual
2025-08-24;furgao;fiat;fiorino;fiorino endurance 1.4 evo flex 2p c/ar;2023;2024;91490;fiorino endurance 1.4 evo flex 2p c/ar gasolina/etanol manual
2025-08-24;suv;volkswagen;nivus;nivus highline 1.0;2023;2024;116990;nivus highline 1.0 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 sense plus flex 1.0;2023;2024;67990;hb20 sense plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;mobi;mobi like 1.0;2023;2024;56990;mobi like 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;argo drive 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 sense plus flex 1.0;2023;2024;66090;hb20 sense plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;polo track 1.0 gasolina/etanol manual
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;polo track 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross 1.0;2023;2024;109990;t-cross 1.0 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;polo track 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 sense plus flex 1.0;2023;2024;67990;hb20 sense plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo 1.0;2023;2024;72990;polo 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;polo track 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;polo track 1.0 gasolina/etanol manual
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 sense plus flex 1.0;2023;2024;67990;hb20 sense plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo 1.0;2023;2024;72990;polo 1.0 gasolina/etanol manual
2025-08-24;suv;chevrolet;tracker;tracker lt 1.0;2023;2024;104990;tracker lt 1.0 gasolina/etanol automático
2025-08-24;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;argo drive 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;mobi;mobi like 1.0;2023;2024;56990;mobi like 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;polo track 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;suv;jeep;renegade;renegade longitude 1.3;2023;2024;112990;renegade longitude 1.3 gasolina/etanol automático
2025-08-24;pick-up;fiat;strada;strada endurance cp flex 1.3;2023;2024;80990;strada endurance cp flex 1.3 gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;hatch;volkswagen;polo;polo 1.0;2023;2024;72990;polo 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross 1.0;2023;2024;109990;t-cross 1.0 gasolina/etanol automático
2025-08-24;suv;chevrolet;tracker;tracker lt 1.0;2023;2024;104990;tracker lt 1.0 gasolina/etanol automático
2025-08-24;furgao;fiat;fiorino;fiorino endurance 1.4;2023;2024;91490;fiorino endurance 1.4 gasolina/etanol manual
2025-08-24;suv;jeep;renegade;renegade longitude 1.3;2023;2024;112990;renegade longitude 1.3 gasolina/etanol automático
2025-08-24;hatch;fiat;mobi;mobi like 1.0;2023;2024;56990;mobi like 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;polo track 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;nivus;nivus highline 1.0;2023;2024;116990;nivus highline 1.0 gasolina/etanol automático
2025-08-24;hatch;volkswagen;polo;polo 1.0;2023;2024;72990;polo 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;mobi;mobi like 1.0;2023;2024;56990;mobi like 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;polo track 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo 1.0;2023;2024;72990;polo 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0 12v flex 4p c/ar - sm;2024;2024;69990;polo track 1.0 12v flex 4p c/ar - sm gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0 12v flex 4p c/ar - sm;2024;2024;69990;polo track 1.0 12v flex 4p c/ar - sm gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;polo track 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo 1.0;2023;2024;72990;polo 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;polo track 1.0 gasolina/etanol manual
2025-08-24;sedan;chevrolet;onix;onix plus ltz 1.0;2023;2024;85490;onix sedan plus ltz 1.0 gasolina/etanol automático
2025-08-24;suv;jeep;renegade;renegade longitude 1.3;2023;2024;112990;renegade longitude 1.3 gasolina/etanol automático
2025-08-24;sedan;chevrolet;onix;onix plus ltz 1.0;2023;2024;85490;onix sedan plus ltz 1.0 gasolina/etanol automático
2025-08-24;sedan;fiat;cronos;cronos drive 1.0;2023;2024;75990;cronos drive 1.0 gasolina/etanol manual
2025-08-24;suv;chevrolet;tracker;tracker lt 1.0;2023;2024;104990;tracker lt 1.0 gasolina/etanol automático
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automatico
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;mobi;mobi like 1.0;2023;2024;56990;mobi like 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;argo drive 1.0 gasolina/etanol manual
2025-08-24;hatch;chevrolet;onix;onix lt 1.0;2023;2024;70990;onix hatch lt 1.0 gasolina/etanol manual
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;sedan;fiat;cronos;cronos drive 1.3;2023;2024;79990;cronos drive 1.3 gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;hatch;chevrolet;onix;onix lt 1.0 12v flex 4p c/ar;2023;2024;70990;onix hatch lt 1.0 12v flex 4p c/ar gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;sedan;chevrolet;onix;onix plus lt 1.0;2023;2024;73990;onix sedan plus lt 1.0 gasolina/etanol manual
2025-08-24;sedan;chevrolet;onix;onix plus ltz 1.0;2023;2024;85490;onix sedan plus ltz 1.0 gasolina/etanol automático
2025-08-24;hatch;chevrolet;onix;onix lt 1.0 12v flex 4p c/ar;2023;2024;70990;onix hatch lt 1.0 12v flex 4p c/ar gasolina/etanol manual
2025-08-24;hatch;chevrolet;onix;onix lt 1.0;2023;2024;70990;onix hatch lt 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;nivus;nivus highline 1.0;2023;2024;115090;nivus highline 1.0 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;sedan;chevrolet;onix;onix plus ltz 1.0;2023;2024;85490;onix sedan plus ltz 1.0 gasolina/etanol automático
2025-08-24;sedan;chevrolet;onix;onix plus ltz 1.0;2023;2024;85490;onix sedan plus ltz 1.0 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;nivus;nivus highline 1.0;2023;2024;116990;nivus highline 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;suv;chevrolet;tracker;tracker premier 1.2;2023;2024;114990;tracker premier 1.2 gasolina/etanol automático
2025-08-24;furgao;fiat;fiorino;fiorino endurance 1.4;2023;2024;91490;fiorino endurance 1.4 gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;suv;jeep;renegade;renegade longitude 1.3;2023;2024;112990;renegade longitude 1.3 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;argo drive 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 sense plus flex 1.0;2023;2024;67990;hb20 sense plus flex 1.0 gasolina/etanol manual
2025-08-24;suv;jeep;renegade;renegade longitude 1.3;2023;2024;112990;renegade longitude 1.3 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross 1.0;2023;2024;109990;t-cross 1.0 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;suv;jeep;renegade;renegade longitude 1.3;2023;2024;112990;renegade longitude 1.3 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;sedan;fiat;cronos;cronos drive 1.0;2023;2024;75990;cronos drive 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;polo track 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;suv;jeep;renegade;renegade longitude 1.3;2023;2024;111990;renegade longitude 1.3 gasolina/etanol automático
2025-08-24;hatch;volkswagen;polo;polo 1.0;2023;2024;72990;polo 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;argo drive 1.0 gasolina/etanol manual
2025-08-24;suv;chevrolet;tracker;tracker lt 1.0;2023;2024;104990;tracker lt 1.0 gasolina/etanol automático
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;polo track 1.0 gasolina/etanol manual
2025-08-24;suv;chevrolet;tracker;tracker lt 1.0;2023;2024;104990;tracker lt 1.0 gasolina/etanol automático
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;polo track 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;argo drive 1.0 gasolina/etanol manual
2025-08-24;suv;chevrolet;tracker;tracker lt 1.0;2023;2024;104990;tracker lt 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;hatch;volkswagen;polo;polo 1.0;2023;2024;72990;polo 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;polo track 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;argo drive 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;argo drive 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;polo track 1.0 gasolina/etanol manual
2025-08-24;sedan;fiat;cronos;cronos drive 1.0;2023;2024;75990;cronos drive 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;argo drive 1.0 gasolina/etanol manual
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;pick-up;fiat;strada;strada endurance cp flex 1.3;2023;2024;80990;strada endurance cp flex 1.3 gasolina/etanol manual
2025-08-24;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;argo drive 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross 1.0;2023;2024;109990;t-cross 1.0 gasolina/etanol automático
2025-08-24;hatch;volkswagen;polo;polo 1.0;2023;2024;72990;polo 1.0 gasolina/etanol manual
2025-08-24;suv;jeep;renegade;renegade longitude 1.3;2023;2024;112990;renegade longitude 1.3 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross 1.0;2023;2024;109990;t-cross 1.0 gasolina/etanol automático
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;sedan;chevrolet;onix;onix plus lt 1.0;2023;2024;73990;onix sedan plus lt 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;suv;chevrolet;tracker;tracker lt 1.0;2023;2024;104990;tracker lt 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross 1.0;2023;2024;109990;t-cross 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;hatch;volkswagen;polo;polo 1.0;2023;2024;72990;polo 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;argo drive 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;hatch;fiat;mobi;mobi like 1.0;2023;2024;56990;mobi like 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo 1.0 12v mpi flex 4p c/ar;2023;2024;72990;polo 1.0 12v mpi flex 4p c/ar gasolina/etanol manual
2025-08-24;furgao;fiat;fiorino;fiorino endurance 1.4;2023;2024;91490;fiorino endurance 1.4 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross 1.0;2023;2024;109990;t-cross 1.0 gasolina/etanol automático
2025-08-24;sedan;fiat;cronos;cronos drive 1.0;2023;2024;75990;cronos drive 1.0 gasolina/etanol manual
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;sedan;fiat;cronos;cronos drive 1.0 6v flex 4p c/ar;2023;2024;75990;cronos drive 1.0 6v flex 4p c/ar gasolina/etanol manual
2025-08-24;suv;jeep;renegade;renegade longitude 1.3;2023;2024;112990;renegade longitude 1.3 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;furgao;fiat;fiorino;fiorino endurance 1.4;2023;2024;87890;fiorino endurance 1.4 gasolina/etanol manual
2025-08-24;hatch;chevrolet;onix;onix lt 1.0;2023;2024;70990;onix hatch lt 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;hb20s comfort plus tgdi flex at 1.0 gasolina/etanol automatico
2025-08-24;hatch;hyundai;hb20;hb20 sense plus flex 1.0;2023;2024;66990;hb20 sense plus flex 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;nivus;nivus highline 1.0;2023;2024;116990;nivus highline 1.0 gasolina/etanol automático
2025-08-24;hatch;chevrolet;onix;onix lt 1.0;2023;2024;70990;onix hatch lt 1.0 gasolina/etanol manual
2025-08-24;hatch;chevrolet;onix;onix lt 1.0;2023;2024;70990;onix hatch lt 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross 1.0;2023;2024;109990;t-cross 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross 1.0;2023;2024;109990;t-cross 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross 1.0;2023;2024;109990;t-cross 1.0 gasolina/etanol automático
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;polo track 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;argo drive 1.0 gasolina/etanol manual
2025-08-24;sedan;chevrolet;onix;onix plus ltz 1.0;2023;2024;85490;onix sedan plus ltz 1.0 gasolina/etanol automático
2025-08-24;hatch;chevrolet;onix;onix lt 1.0;2023;2024;70990;onix hatch lt 1.0 gasolina/etanol manual
2025-08-24;furgao;fiat;fiorino;fiorino endurance 1.4;2023;2024;91490;fiorino endurance 1.4 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross 1.0;2023;2024;109990;t-cross 1.0 gasolina/etanol automático
2025-08-24;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;argo drive 1.0 gasolina/etanol manual
2025-08-24;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;polo track 1.0 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;suv;volkswagen;t-cross;t-cross 1.0;2023;2024;109990;t-cross 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;t-cross comfortline 1.0 gasolina/etanol automático
2025-08-24;furgao;fiat;fiorino;fiorino endurance 1.4;2023;2024;91490;fiorino endurance 1.4 gasolina/etanol manual
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;hb20 comfort plus flex 1.0 gasolina/etanol manual
